Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Ochromonadaceae,88165,12,14,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Ochromonadales;Ochromonadaceae,cellular root;domain;clade;clade;clade;class;order;family,131567;2759;2698737;33634;2696291;33859;98652;88165
Prolecithophora,79788,12,25,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Prolecithophora,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;order,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;147100;79788
Microsporida_X,6029,11,21,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Microsporidia;Microsporida_X,cellular root;domain;clade;kingdom;no rank;phylum;original_name,131567;2759;33154;4751;112252;6029;6029
Nucleariidae_Nuclearia_2,154966,11,30,cellular organisms;Eukaryota;Opisthokonta;Rotosphaerida;Nucleariidae;Nucleariidae_Nuclearia_2,cellular root;domain;clade;order;family;original_name,131567;2759;33154;2686024;154966;154966
Bodonidae,5708,10,15,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Eubodonida;Bodonidae,cellular root;domain;clade;phylum;class;subclass;order;family,131567;2759;2611352;33682;5653;2704647;2704650;5708
Chlorophyceae.U.family,3166,10,62,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;Chlorophyceae.U.family,cellular root;domain;kingdom;phylum;clade;class;original_name,131567;2759;33090;3041;2692248;3166;3166
Neocallimastigaceae,29007,10,79,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae,cellular root;domain;clade;kingdom;no rank;phylum;no rank;class;order;family,131567;2759;33154;4751;112252;4761;2683659;451455;29006;29007
Pterocystida_XX,2607628,10,24,cellular organisms;Eukaryota;Haptista;Centroplasthelida;Pterocystida;Pterocystida_XX,cellular root;domain;clade;class;order;original_name,131567;2759;2608109;193537;2607628;2607628
Reophacidae,1482317,10,34,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Lituolida;Reophacidae,cellular root;domain;clade;clade;clade;phylum;order;family,131567;2759;2698737;543769;2662056;29178;998816;1482317
Vampyrellidae,325674,10,18,cellular organisms;Eukaryota;Sar;Rhizaria;Endomyxa;Vampyrellida;Vampyrellidae,cellular root;domain;clade;clade;phylum;order;family,131567;2759;2698737;543769;2604748;1367446;325674
