DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_genome_counts
COLOR	#ff0000
Aquificaceae_bacterium_species_2053503	224
Thermoleophilia_bacterium_species_2026888	224
Sphaerochaetaceae_bacterium_species_2791017	223
uncultured_Rhodobacteraceae_bacterium_species_157276	223
Lactobacillus_helveticus_species_1587	222
Sphingomicrobium_sp._species_1940456	222
uncultured_Gemmatimonadaceae_bacterium_species_246130	222
Moraxella_catarrhalis_species_480	221
Lactococcus_cremoris_species_1359	221
SAR324_cluster_bacterium_species_2024889	221
Cronobacter_turicensis_species_413502	220
uncultured_Candidatus_Actinomarina_sp._species_1985113	219
Citrobacter_amalonaticus_species_35703	219
Vibrio_cyclitrophicus_species_47951	218
Sphingomonadaceae_bacterium_species_1930536	217
Bacteroides_faecis_species_674529	217
Burkholderia_vietnamiensis_species_60552	217
Ralstonia_pseudosolanacearum_species_1310165	217
Candidatus_Cryptobacteroides_sp._species_2952915	215
Sinorhizobium_medicae_species_110321	214
Thomasclavelia_cocleata_species_69824	214
uncultured_Ruminiclostridium_sp._species_1757166	213
uncultured_Gemmatimonadales_bacterium_species_412054	213
Bacillus_spizizenii_species_96241	213
Candidatus_Planktophila_sp._species_2175601	213
Phocaeicola_sp._species_2773926	212
Chromatiales_bacterium_species_2026725	211
uncultured_Candidatus_Melainabacteria_bacterium_species_2682970	211
uncultured_Butyricicoccus_sp._species_1193532	210
Enterococcus_durans_species_53345	210
Bacillus_mycoides_species_1405	210
Vibrio_harveyi_species_669	209
Candidatus_Kapaibacterium_sp._species_2447898	209
Ruthenibacterium_lactatiformans_species_1550024	208
Raoultella_planticola_species_575	208
uncultured_cyanobacterium_species_1211	206
Microbacterium_sp._species_51671	206
Planktomarina_temperata_species_1284658	206
Lentisphaeria_bacterium_species_2053569	205
uncultured_Fidelibacterota_bacterium_species_195045	205
Alloprevotella_sp._species_1872471	203
