genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Saccharomycopsis,0,0,0.0,0.0,78,27,78,0.16,0.13,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Boletus,0,0,0.0,0.0,75,64,75,0.15,0.31,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ovis,0,0,0.0,0.0,75,6,75,0.15,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Calonectria,0,0,0.0,0.0,74,19,74,0.15,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Brassica,0,0,0.0,0.0,73,9,73,0.15,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hortaea,0,0,0.0,0.0,73,2,72,0.15,0.01,98.63,,,0,0,0,ncbi_only,Eukaryota,0.0
Ceratocystis,0,0,0.0,0.0,73,28,73,0.15,0.14,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Verticillium,0,0,0.0,0.0,73,10,73,0.15,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lagorchestes,0,0,0.0,0.0,70,2,70,0.14,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hanseniaspora,0,0,0.0,0.0,69,22,66,0.14,0.11,95.65,,,0,0,0,ncbi_only,Eukaryota,0.0
Gossypium,0,0,0.0,0.0,67,29,67,0.13,0.14,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Epichloe,0,0,0.0,0.0,66,28,66,0.13,0.14,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Diaporthe,0,0,0.0,0.0,65,34,65,0.13,0.16,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cucumis,0,0,0.0,0.0,64,9,63,0.13,0.04,98.44,,,0,0,0,ncbi_only,Eukaryota,0.0
Puccinia,0,0,0.0,0.0,64,12,64,0.13,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Erythroxylum,0,0,0.0,0.0,63,62,63,0.13,0.3,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cordyceps,0,0,0.0,0.0,63,11,63,0.13,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tilletia,0,0,0.0,0.0,62,11,62,0.12,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Wickerhamiella,0,0,0.0,0.0,61,33,60,0.12,0.16,98.36,,,0,0,0,ncbi_only,Eukaryota,0.0
Microbotryum,0,0,0.0,0.0,60,7,60,0.12,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rotaria,0,0,0.0,0.0,59,6,43,0.12,0.03,72.88,,,0,0,0,ncbi_only,Eukaryota,0.0
Cyberlindnera,0,0,0.0,0.0,59,37,59,0.12,0.18,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saitozyma,0,0,0.0,0.0,58,2,58,0.12,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Prunus,0,0,0.0,0.0,58,20,58,0.12,0.1,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bombus,0,0,0.0,0.0,57,42,57,0.11,0.2,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Falco,0,0,0.0,0.0,56,27,56,0.11,0.13,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
